Index	true_label	text	shap	pred_label
0	1	YouTube is making clear there will be no “birtherism” on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.	[('theory', 0.05429564897039397), ('2012', 0.012586184116931602), ('year’s', 0.008249086201644829), ('a', 0.0), ('type', -0.0026079764847514275), ('of', -0.012050332357414423)]	0
1	0	The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.	[('The', '0'), ('women’s', '0'), ('U.S.', '0'), ('field', '0'), ('their', '0'), ('protest', '0'), ('Japan.', '0')]	0
2	1	So while there may be a humanitarian crisis driving more vulnerable people to seek asylum in the United States, there is no security crisis.	[('So', '0'), ('humanitarian', '0'), ('to', '0'), ('States,', '0')]	0
3	0	A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.	[('A', '0'), ('classes', '0'), ('question', '0'), ('study', '0'), ('students', '0'), ('and', '0')]	0
4	1	Looking around the United States, there is never enough welfare for the left to stop killing developing humans in utero—solidly Democratic states lead the nation in abortion rates. 	[('Looking', '0'), ('is', '0'), ('left', '0'), ('in', '0'), ('nation', '0')]	0
5	0	The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).	[('The', '0'), ('said', '0'), ('to', '0'), ('data', '0'), ('it', '0'), ('Russian', '0')]	0
6	1	The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 	[('The', '0'), ('helping', '0'), ('of', '0'), ('Trump', '0'), ('he', '0')]	0
7	1	The explosion of the Hispanic population has long-term job prospect consequences as well: Both legal and illegal aliens will occupy 75 percent of new American jobs in as little as five years.	[('The', '0'), ('has', '0'), ('well:', '0'), ('will', '0'), ('American', '0'), ('five', '0')]	0
8	1	The anti-vaccine movement made headlines last spring, when widespread distrust of the pharmaceutical industry and the belief that vaccines can lead to autism in children led to a measles outbreak. 	[('The', '0'), ('spring,', '0'), ('pharmaceutical', '0'), ('vaccines', '0'), ('children', '0'), ('', '0')]	0
9	0	Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 	[('Thousands', '0'), ('found', '0'), ('Chicago', '0'), ('Wednesday', '0')]	0
10	0	Defending Democracy Together, a group of “Never Trump” conservatives including commentator Bill Kristol, created Republican Voters Against Trump. It is among several groups on the right ― including the Lincoln Project, which was co-founded by attorney George Conway and GOP strategists Rick Wilson and Steve Schmidt ― targeting the president as the election approaches.	[('president', 0.02412288029275313), ('among', 0.009020351458964584), ('created', 0.003806468779765525), ('the', 0.0013277219449831879), ('“Never', 0.00018830348970732324), ('Defending', -0.0004045836043076767), ('election', -0.001048710778659373), ('approaches.', -0.0017204126066848269), ('Steve', -0.0048058676335340535)]	0
11	1	Voting in quasi-militarized settings was not confined to the nation’s capital. In Philadelphia, on election eve, the mayor announced a curfew that was slated to take effect an hour before its polls closed, but subsequently delayed it after an outcry by other city officials and activists. 	[('Voting', '0'), ('confined', '0'), ('Philadelphia,', '0'), ('announced', '0'), ('to', '0'), ('its', '0'), ('it', '0'), ('city', '0')]	0
12	1	But one glaring absentee was Trump, who not only declined an invitation but failed to send any American representative at all.	[('But', '0'), ('who', '0'), ('but', '0'), ('representative', '0')]	0
13	0	Planned Parenthood, the abortion industry giant says the “white supremacy” and “systemic bias in policing” that “took George Floyd’s life” are the same factors involved in “attacks” on women’s abortion rights.	[('Planned', '0'), ('says', '0'), ('bias', '0'), ('Floyd’s', '0'), ('involved', '0'), ('rights.', '0')]	0
14	1	Track and field athletes don’t typically earn the lucrative salaries seen in the NBA, NFL, tennis or international soccer.	[('Track', '0'), ('earn', '0'), ('the', '0'), ('soccer.', '0')]	0
15	0	Cuba’s health ministry initially vowed an investigation into Paloma Dominguez Caballero’s death; last week, state media published a report essentially absolving the government of any wrongdoing, categorically stating that nothing was wrong with the vaccine Dominguez received.	[('Cuba’s', '0'), ('investigation', '0'), ('last', '0'), ('report', '0'), ('any', '0'), ('was', '0'), ('received.', '0')]	0
16	1	In other words, the agency responsible for protecting consumers now wants to make it easier for them to get stuck in a cycle of debt they can never repay.	[('In', '0'), ('for', '0'), ('make', '0'), ('get', '0'), ('debt', '0')]	0
17	0	Even as U.S. immigration officials have pushed to deport hundreds of Iraqi Christians over the last few years, asserting in court that they are unlikely to be targeted in their homeland, another arm of the Trump administration has insisted just the opposite, saying that Christians in Iraq face terror and extortion.	[('Even', '0'), ('pushed', '0'), ('Christians', '0'), ('asserting', '0'), ('unlikely', '0'), ('homeland,', '0'), ('administration', '0'), ('saying', '0'), ('terror', '0')]	0
18	0	Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.	[('Although', '0'), ('his', '0'), ('many', '0'), ('change', '0'), ('lifestyles', '0'), ('their', '0'), ('example,', '0'), ('Orlando', '0'), ('2019', '0'), ('A-listers', '0'), ('conference', '0'), ('and', '0')]	0
19	1	A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.	[('A', '0'), ('who', '0'), ('an', '0'), ('communion', '0'), ('down', '0'), ('is', '0')]	0
20	1	Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus	[('about', 0.014512955314271053), ('coronavirus', -0.0009999999999999976), ('comes', -0.018829447990489422)]	0
21	0	The taxpayer-funded BBC has announced that 16-year-old eco-warrior Greta Thunberg will be guest-editing the broadcaster’s flagship current affairs radio programme, the Today show.	[('The', '0'), ('16-year-old', '0'), ('guest-editing', '0'), ('radio', '0')]	0
22	0	The German Federal State of Baden-Wuerttemberg is seeking damages from Volkswagen after local authorities purchased VW diesel vehicles which now face bans in cities like Stuttgart, Frankfurter Allgemeine Zeitung said on Saturday.	[('The', '0'), ('is', '0'), ('local', '0'), ('which', '0'), ('like', '0'), ('on', '0')]	0
23	1	Gadsby's work is a testament to how eagerly the arbiters of our culture will devour and elevate work that convincingly purports to be progressive.	"[(""Gadsby's"", '0'), ('how', '0'), ('culture', '0'), ('that', '0')]"	0
24	1	That’s led some vaccine foes to join the protesters — whom Trump has encouraged on Twitter — in staging demonstrations in state capitals to “reopen America.”	[('That’s', '0'), ('join', '0'), ('has', '0'), ('staging', '0'), ('“reopen', '0')]	0
25	1	Mississippi’s Republican governor signed one of America’s strictest abortion bills on Thursday banning women from obtaining an abortion once a fetal heartbeat is detected, which can often occur before a woman even realizes she is pregnant.	[('Mississippi’s', '0'), ('America’s', '0'), ('banning', '0'), ('once', '0'), ('which', '0'), ('woman', '0')]	0
26	1	That’s why white nationalists, who are enthusiasts for the abortion of black and brown people, despise pro-lifers, as anyone reporting in good faith should know.	[('That’s', '0'), ('enthusiasts', '0'), ('and', '0'), ('anyone', '0'), ('know.', '0')]	0
27	1	President Donald Trump ridiculed former Secretary of State Colin Powell on Sunday for endorsing former Vice President Joe Biden for president.	[('President', '0'), ('of', '0'), ('for', '0'), ('Biden', '0')]	0
28	1	Biden was particularly critical of Trump’s visit on Monday to a historic church across from the White House, which was preceded by law enforcement authorities dispersing a crowd near the church with smoke canisters and flash grenades.	[('Biden', '0'), ('visit', '0'), ('church', '0'), ('which', '0'), ('authorities', '0'), ('church', '0'), ('grenades.', '0')]	0
29	0	The other witnesses at the hearing shared story after story about how Americans are struggling to pay off student loans, with many having to delay getting married, buying a home, and having children.	[('The', '0'), ('shared', '0'), ('Americans', '0'), ('student', '0'), ('delay', '0'), ('and', '0')]	0
30	0	French sporting goods retailer Decathlon has confirmed they will not be stocking a sports hijab after public backlash and threats of a mass boycott.	[('goods', 0.022739992995134805), ('threats', 0.0013091626053946038), ('Decathlon', 0.0), ('after', -0.007709941280857002)]	0
31	1	Young women taking part in high school and college athletics across the country have had their dreams of winning dashed by the movement to allow biological male who “identify” as female to compete against them.	[('Young', '0'), ('school', '0'), ('country', '0'), ('winning', '0'), ('allow', '0'), ('female', '0')]	0
32	0	Australian sports stars, sparked in part by a call to action from tennis player Nick Kyrgios, have rallied to raise funds in support of relief and recovery efforts for victims of the country’s bushfire catastrophe.	[('Australian', '0'), ('by', '0'), ('tennis', '0'), ('to', '0'), ('relief', '0'), ('of', '0')]	0
33	1	Under current immigration policies, it’s possible that immigration arrests could lead to poor mental health by increasing deportation fears among undocumented individuals and their families and neighbors, the study authors write.	[('Under', '0'), ('that', '0'), ('poor', '0'), ('fears', '0'), ('families', '0'), ('write.', '0')]	0
34	1	Less-organized migrants, tighter immigration control by Guatemalan authorities and the presence of U.S. advisers have reduced the likelihood that the hundreds of migrants who departed Honduras will form anything like the cohesive procession the term “caravan” now conjures.	[('Less-organized', '0'), ('Guatemalan', '0'), ('U.S.', '0'), ('that', '0'), ('departed', '0'), ('the', '0'), ('now', '0')]	0
35	0	U.S. Education Secretary Betsy DeVos is withdrawing protections put in place by former President Barack Obama for students who have mismanaged or are defaulting on their college loans.	[('U.S.', '0'), ('withdrawing', '0'), ('former', '0'), ('who', '0'), ('on', '0')]	0
36	1	Trump enjoys and encourages state brutality against people of color, and black people in particular. It excites him and his most ardent followers. But his response isn’t just based on personal predilections. It’s also based on political considerations.	[('Trump', '0'), ('against', '0'), ('people', '0'), ('and', '0'), ('his', '0'), ('personal', '0'), ('political', '0')]	0
37	0	For the first time the annual risk report, compiled by the World Economic Forum (WEF), found the top five concerns were all environmental, from extreme weather to biodiversity loss and events like oil spills and radioactive contamination.	[('For', '0'), ('risk', '0'), ('Economic', '0'), ('five', '0'), ('extreme', '0'), ('events', '0'), ('contamination.', '0')]	0
38	1	Abortionists, who prey on desperate people, should no longer receive your hard-earned tax dollars.	[('Abortionists,', '0'), ('should', '0'), ('tax', '0')]	0
39	1	The Trump administration has continued to deny climate change findings and make scientific reports inaccessible to the public.	[('The', '0'), ('deny', '0'), ('scientific', '0')]	0
40	0	As controversies about the “reopening” of America loom over our lives, nothing seems as intrinsically irrelevant — yet possibly as critically important — as how soon major spectator sports return.	[('major', 0.010381346472764376), ('As', 0.0018878607903573409), ('—', 0.0), ('loom', -0.0006116535645597199), ('as', -0.005352930044427468)]	0
