index	true_label	text	lime	pred_label
0	1	YouTube is making clear there will be no “birtherism” on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.	[('will', -0.029252683519967963), ('theory', -0.022364252186906533), ('this', 0.019847166952076212), ('year', 0.015530691642299794), ('2012', 0.014233816452807494), ('there', 0.011122930501996121)]	0
1	0	The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.	[('American', -0.029672364171140015), ('over', -0.026233845813464447), ('players', -0.0122285189556582), ('the', -0.010889257225508184), ('inside', 0.009658044538992794), ('the', -0.009435944032857675)]	0
2	1	So while there may be a humanitarian crisis driving more vulnerable people to seek asylum in the United States, there is no security crisis.	[('people', 0.0386819118800535), ('United', -0.024193684904763278), ('more', -0.01944792106523302), ('States', 0.016122981978735074), ('So', -0.014503207915381695), ('to', 0.012995651708143931)]	0
3	0	A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.	[('area', 0.02424904424843578), ('future', -0.02228143422046188), ('has', -0.02148057819693749), ('classes', -0.01992985827234005), ('seen', -0.01922296435974465), ('said', 0.016072272371985514)]	0
4	1	Looking around the United States, there is never enough welfare for the left to stop killing developing humans in utero—solidly Democratic states lead the nation in abortion rates. 	[('Democratic', 0.01979727545506887), ('United', -0.019760768689701204), ('nation', 0.017962592410423944), ('there', 0.015509284777597257), ('States', 0.014305292453122271), ('developing', -0.01100386033884922)]	0
5	0	The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).	[('data', 0.01706611671281763), ('year', 0.016295027294651657), ('World', -0.015032153192371245), ('consider', -0.01284501646644698), ('on', 0.010352080515883285), ('it', 0.009457224624799062)]	0
6	1	The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 	[('president', -0.03330389437117544), ('since', -0.028754638319175966), ('Republican', 0.022090555572121643), ('The', -0.0164823934095785), ('environment', -0.012931909074891614), ('to', 0.011812672776734652)]	0
7	1	The explosion of the Hispanic population has long-term job prospect consequences as well: Both legal and illegal aliens will occupy 75 percent of new American jobs in as little as five years.	[('jobs', -0.027415404496731077), ('little', 0.022474214540262806), ('has', -0.01983733998993992), ('consequences', -0.017323985021840623), ('years', -0.01710643604775351), ('will', -0.01582583678475044)]	0
8	1	The anti-vaccine movement made headlines last spring, when widespread distrust of the pharmaceutical industry and the belief that vaccines can lead to autism in children led to a measles outbreak. 	[('children', -0.021646213619076184), ('made', 0.019754079012606424), ('headlines', -0.01855831433193459), ('can', -0.017025659158805787), ('The', -0.011995517756144498), ('in', -0.010804161541993849)]	0
9	0	Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 	[('doctor', -0.014771740175656134), ('Indiana', 0.013952691473121418), ('of', 0.010268969997481683), ('year', 0.008566546520369376), ('that', 0.007933518777258593), ('at', -0.007352677736917869)]	0
