Index	true_label	text	shap	pred_label
0	1	YouTube is making clear there will be no “birtherism” on its platform during this year’s U.S. presidential election – a belated response to a type of conspiracy theory more prevalent in the 2012 race.	[('presidential', 0.03742920566218258), ('“birtherism”', 0.005929185025845008), ('during', 0.0020588633009751456), ('U.S.', 0.0), ('year’s', -0.0034578459548795294), ('its', -0.013297714518691817)]	1
1	0	The increasingly bitter dispute between American women’s national soccer team and the U.S. Soccer Federation spilled onto the field Wednesday night when players wore their warm-up jerseys inside outin a protest before their 3-1 victory over Japan.	[('between', 0.023355282209943196), ('dispute', 0.003890574916714793), ('bitter', 2.9114459731265365e-05), ('a', 0.0), ('their', -0.0007885927391495662), ('field', -0.0055105985885466665), ('night', -0.029083340739073132)]	1
2	1	So while there may be a humanitarian crisis driving more vulnerable people to seek asylum in the United States, there is no security crisis.	[('security', 0.022834458568552273), ('crisis', 0.0070220320106065106), ('while', 0.0004211867177329298), ('there', -0.002999544492811378)]	1
3	0	A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.	[('about', 0.02511334838166128), ('the', 0.0016928253507498868), ('grief,', 0.00046945970984132003), ('—', 0.0), ('would', -0.003700526633714675), ('suffer', -0.00843803357709591)]	1
4	1	Looking around the United States, there is never enough welfare for the left to stop killing developing humans in utero—solidly Democratic states lead the nation in abortion rates. 	[('lead', 0.023178108084906786), ('stop', 0.006888662131519273), ('nation', 0.0006655924093747468), ('left', -0.00030841420743381255), ('there', -0.0074187025924170895)]	1
5	0	The World Anti-Doping Agency on Tuesday said that Russian authorities had failed to provide access to laboratory doping data by their year-end deadline and it will consider sanctions against the Russian Anti-Doping Agency (RUSADA).	[('year-end', 0.024384550629203316), ('and', 0.009046316107210352), ('The', 0.006072641324280189), ('on', 4.1338786837706863e-05), ('Tuesday', -0.0012055589246813868), ('Agency', -0.008212738699887801)]	1
6	1	The Republican president assumed he was helping the industry at the expense of the environment – a trade-off Trump was happy to make since he rejects climate science anyway. 	[('expense', 0.014732447799537704), ('happy', 0.004905957161099056), ('anyway.', 0.0016070034718422633), ('he', -0.00297146980328436), ('since', -0.008540299813181117)]	1
7	1	The explosion of the Hispanic population has long-term job prospect consequences as well: Both legal and illegal aliens will occupy 75 percent of new American jobs in as little as five years.	[('American', 0.02299034308730243), ('will', 0.012346651720422144), ('as', 0.003442192694028382), ('population', -0.001801011105296817), ('occupy', -0.003671438279533513), ('well:', -0.02375827319866612)]	1
8	1	The anti-vaccine movement made headlines last spring, when widespread distrust of the pharmaceutical industry and the belief that vaccines can lead to autism in children led to a measles outbreak. 	[('belief', 0.024051035784932225), ('and', 0.008051905293226155), ('distrust', 0.000541841291513867), ('measles', -0.0004607510011566973), ('autism', -0.0029455258554044682), ('made', -0.03502319027028358)]	1
9	0	Thousands of fetal remains that were found at an abortion doctor's suburban Chicago garage last year were buried Wednesday at an Indiana cemetery. 	[('of', 0.0134275330570923), ('at', 0.001186052281979605), ('', 0.0), ('an', -0.003315106924483385)]	1
10	0	Defending Democracy Together, a group of “Never Trump” conservatives including commentator Bill Kristol, created Republican Voters Against Trump. It is among several groups on the right ― including the Lincoln Project, which was co-founded by attorney George Conway and GOP strategists Rick Wilson and Steve Schmidt ― targeting the president as the election approaches.	[('on', 0.018751256463327516), ('co-founded', 0.006477582799674331), ('the', 0.0028612258515535406), ('election', 0.0008979918577662649), ('attorney', 3.8217158208313505e-05), ('Rick', -0.00030408844585599226), ('Project,', -0.0009587321675776105), ('GOP', -0.004816371673424403), ('Steve', -0.012541588546444393)]	1
11	1	Voting in quasi-militarized settings was not confined to the nation’s capital. In Philadelphia, on election eve, the mayor announced a curfew that was slated to take effect an hour before its polls closed, but subsequently delayed it after an outcry by other city officials and activists. 	[('officials', 0.02043274936918338), ('announced', 0.00801809169388117), ('mayor', 0.005481188154256026), ('not', 0.0020100495640926787), ('before', 0.001034205779787254), ('an', 5.186584333916167e-05), ('take', -0.001592617543467707), ('election', -0.006954938271604899)]	1
12	1	But one glaring absentee was Trump, who not only declined an invitation but failed to send any American representative at all.	[('American', 0.01677381176614928), ('one', 0.008378032239261026), ('all.', 0.0011959510357815617), ('only', -0.006998538011695884)]	1
13	0	Planned Parenthood, the abortion industry giant says the “white supremacy” and “systemic bias in policing” that “took George Floyd’s life” are the same factors involved in “attacks” on women’s abortion rights.	[('industry', 0.011939219535742545), ('women’s', 0.007663406094168541), ('the', 0.002343768407472482), ('Parenthood,', 0.001507054910322385), ('that', -0.0048807121842273935), ('and', -0.014254878224574346)]	1
14	1	Track and field athletes don’t typically earn the lucrative salaries seen in the NBA, NFL, tennis or international soccer.	[('salaries', 0.014917366522964154), ('tennis', 0.0007332608302178845), ('typically', -0.0011313932863146626), ('and', -0.01872428275055629)]	1
15	0	Cuba’s health ministry initially vowed an investigation into Paloma Dominguez Caballero’s death; last week, state media published a report essentially absolving the government of any wrongdoing, categorically stating that nothing was wrong with the vaccine Dominguez received.	[('of', 0.016441312151677507), ('Dominguez', 0.005013164185400397), ('ministry', 0.0019712177264961193), ('Paloma', 0.0), ('initially', -0.001930398772378995), ('that', -0.007142290941569692), ('any', -0.01729191320428284)]	1
16	1	In other words, the agency responsible for protecting consumers now wants to make it easier for them to get stuck in a cycle of debt they can never repay.	[('consumers', 0.015089017254977785), ('never', 0.009640000200542757), ('easier', 0.0011655121671655345), ('in', -0.0052682713743837295), ('for', -0.009415461382202846)]	1
17	0	Even as U.S. immigration officials have pushed to deport hundreds of Iraqi Christians over the last few years, asserting in court that they are unlikely to be targeted in their homeland, another arm of the Trump administration has insisted just the opposite, saying that Christians in Iraq face terror and extortion.	[('just', 0.02313697339014353), ('Iraqi', 0.008503544884779607), ('unlikely', 0.006855649421763672), ('Iraq', 0.0032187847770805324), ('pushed', -0.00034308297840851987), ('be', -0.001588502069240212), ('the', -0.0032868789238665696), ('over', -0.007245928235535275), ('have', -0.01116110041159692)]	1
18	0	Although he didn’t seem to direct his comments at anyone in particular, many celebrities that consider themselves climate change activists have not adjusted their lifestyles of taking private jets to their engagements around the globe, for example, Leonardo DiCaprio, Katy Perry and Orlando Bloom all took heat in 2019 when they were among the A-listers to attend Google’s climate change conference by way of private jets and mega yachts.	[('his', 0.01651204281891167), ('Perry', 0.006790502274247146), ('when', 0.003259522851073605), ('the', 0.0023101596516690893), ('climate', 0.0018774614469290129), ('Leonardo', 0.0013869207131705496), ('example,', 0.0011637385183742143), ('their', 0.0007454043948391975), ('many', 0.00010574387947271612), ('mega', -0.0017266931484063918), ('they', -0.0036553919997979857), ('anyone', -0.014074564411083155)]	1
19	1	A Catholic priest in Rhode Island who barred state lawmakers who supported an abortion rights bill from receiving communion at his church has doubled down on his stance, saying abortion is worse than pedophilia.	[('church', 0.01622685500799733), ('his', 0.004432540690881465), ('barred', 0.0016556258336020346), ('communion', 0.0005802467572195935), ('Island', -0.0021690114197075094), ('has', -0.007199484237346458)]	1
20	1	Gwyneth Paltrow’s anti-vaxxer ally comes under fire for ‘discredited pseudo-scientific claims’ about coronavirus	[('for', 0.037076363869057896), ('Gwyneth', 0.00017857142857143348), ('about', -0.02301858380916562)]	1
21	0	The taxpayer-funded BBC has announced that 16-year-old eco-warrior Greta Thunberg will be guest-editing the broadcaster’s flagship current affairs radio programme, the Today show.	[('BBC', 0.016364162053423982), ('eco-warrior', 0.0029807302027910643), ('guest-editing', 0.001058461220403666), ('that', -0.008952338116427509)]	1
