	url	q3	perceived	primary.topic	secondary.topic	democrat.vote	republican.vote	domain	text
4	http://www.breitbart.com/Big-Government/2013/10/09/Exclusive-Immigration-agents-rip-Bob-Goodlatte-other-Republicans-Democrats-pushing-for-amnesty-in-House	Opinion	1	Civil Rights	Civil Rights	Neutral	Neutral	breitbart.com	"

U.S. Immigration Citizenship and Immigration Services (USCIS) agents have expressed strong concerns over House Judiciary Committee chairman Rep. Bob Goodlatte (R-VA) and other Representatives pushing for immigration legislation that would legalize the status of America’s at least 11 million illegal immigrants. 
In a public statement that will be released Thursday morning but has been provided exclusively to Breitbart News ahead of its public release, USCIS Council president Kenneth Palinkas warned that Goodlatte (pictured), House Budget Committee chairman Rep. Paul Ryan (R-VA), House Majority Leader Rep. Eric Cantor (R-VA), and Rep. Luis Gutierrez (D-IL) seem to be following the same pathway that Senate “Gang of Eight” members did, regarding how they are working on immigration legislation. 
“At every step, this administration places obstacles and roadblocks in front of our adjudication officers in their attempts to protect our nation’s security and the American taxpayer,” Palinkas said. “I documented these abuses on more than one occasion with the authors of Schumer-Rubio-Corker-Hoeven [S. 744] only to have them ignored. 


“I worry the House may be following a similar path. Media reports reveal that Chairman Bob Goodlatte, Chairman Paul Ryan, Congressman Luis Gutierrez, and Majority Leader Eric Cantor are working to advance proposals to open citizenship benefits to the majority of those here illegally, in combination with proposals to expand visa programs.”
Palinkas warned, too, that any group of “step-by-step” House immigration bills may be used as a tool by congressional leaders to get to a conference committee, at which point they would be combined with the Senate bill and sent to the president for his signature, and illegal immigrants would start getting amnesty. That is exactly what House Minority Leader Nancy Pelosi, Gang of Eight members Sens. Bob Menendez (D-NJ) and Chuck Schumer (D-NY), Senate Majority Leader Harry Reid, and some Republicans have said they want to do. 
“These plans are being pursued before first reforming the very agency – USCIS – that will be charged with reviewing these tens of millions of green card, temporary visa and citizenship applications,” Palinkas said. “Advancing such measures without first confronting the widespread abuses at USCIS would be to invite disaster.”

In his statement, Palinkas cited a recent MSNBC report where Gutierrez said he, Goodlatte, and others have worked on a “compromise” position. That MSNBC report also noted that Goodlatte and other Republicans are working with Rep. Henry Cuellar (D-TX), another Democrat, on a plan to get to conference with the Senate bill. Palinkas stated that USCIS agents have been, like they were from the Senate conversations, excluded from all discussions among House leaders. “Why aren’t USCIS officers being consulted on this ‘compromise’ offer?” Palinkas asked. 
He further expressed concern over Cantor’s GOP DREAM Act, tentatively called the KIDS act. “I am also worried about the arguments being used to support the KIDS Act, one piece of the wider citizenship plan being drafted,” Palinkas said. “Legislators, including Mr. Cantor and Mr. Goodlatte, have suggested that it is improper to apply immigration law to younger illegal aliens. But if it is improper to apply immigration law to one specific group of illegal aliens, then why should we expect future illegal aliens in this group to be treated any differently?” 
He warned that the KIDS Act may lead down a slippery slope. “This seems like an argument for extending birthright citizenship in the future to include the foreign citizens of other countries,” Palinkas asserted. “Should we just expect that the next Secretary at DHS will use the arguments we are hearing in the House to enact the next Deferred Action program in anticipation of the next legislated amnesty?”
Palinkas alleged that, under the Obama administration, USCIS has been riddled with nefarious activities. “At USCIS, our institutional mission has been corrupted by politics, and I hope these abuses will be examined and fixed before any amnesty proposal is brought forward in the House,” he said. 
He finished off his statement by listing several immigration issues he hoped House Republicans would address but have thus far not been willing to: “USCIS adjudications officers lack the mission support to safely screen and review applicants for immigration benefits. This includes the inability to conduct in-person interviews, the failure of our software system, the lack of training and office space, and pressure to rubber-stamp applications. We have become an approval machine,” “Failure to protect taxpayers from abuses of the welfare system by those granted immigration benefits,” “Administrative orders that require us to grant immigration benefits to those who, under law, are not properly eligible,” “Approval quotas placed on adjudicators that emphasizes clearing applications more than vetting them,” “A management culture that sees illegal aliens and foreign nationals, not US citizens and taxpayers, as the customer. We believe in treating all with respect and always will, but our agency’s focus must be keeping the country safe and secure on behalf of the American people.”

Goodlatte, Ryan, and Cantor are not the only Republicans still pushing to pass an immigration bill in the House of Representatives. According to the Miami Herald, Rep. Steve Southerland (R-FL) said about immigration: “We have to address it. It’s a moral issue.”
In addition, according to Politico, House GOP conference chairwoman Rep. Cathy McMorris Rodgers (R-WA) said she thinks immigration should be a top priority for House Republicans this year. 
This coming weekend on Univision, McMorris Rodgers will say that House Speaker John Boehner “over the last few weeks has continued to talk about the importance of the House moving forward on immigration reform. I believe that we have a window here between now and the end of the year and that this is a priority.”
McMorris Rodgers is the fourth highest-ranking member in the House GOP conference.
"
28	http://www.breitbart.com/Big-Peace/2013/01/21/Why-Bibi-Is-Not-Intimidated-by-Obama	Opinion	0	Democrat Scandals	Civil Rights	SomewhatNegative	SomewhatNegative	breitbart.com	"
I’m sure Jeffrey Goldberg got it right. Whatever the reason the President leaked his unhappiness with Bibi to Goldberg just a few days before the Israeli election–whether in an effort to influence the vote against Bibi, serve payback to Bibi for a perceived preference for Romney, or because the President could simply no longer suppress his dissatisfaction–it must indeed be unnerving to be the most powerful man on earth and have the elected leader of a tiny Middle Eastern country defy you. Especially when that country, in your opinion, owes you so much! 
You are their only reliable friend who watches helplessly as that little nation continues to isolate itself through its self-destructive policies. According to Goldberg, Obama has “become inured to what he sees as self-defeating policies of his Israeli counterpart…Obama said privately and repeatedly, “Israel doesn’t know what its own best interests are… Netanyahu is moving his country down a path toward near-total isolation.”


If only Israel would recognize the President’s genius. If only it would stop building in Jerusalem and E1 and allow the President to sprinkle his magic peace dust, then Hamas would beat its rockets into ploughshares and Hezbollah would turn its bombs into pruning hooks. But no. Ungrateful to the last, Bibi insists on disobeying the President and claiming all of Jerusalem as Israel’s undivided capitol.
No doubt the President is likewise mystified at the Israeli people as well. How could the polls show that they will this week re-elect the intransigent Prime Minister who is doing so much to harm their country? The most powerful man on earth is reduced to watching from the sidelines and complaining to journalists that he knows how to protect Israel far better than the Israelis themselves.
Such an ungrateful nation.

And yet, perhaps the Israelis have finally figured out that they are a sovereign people whom, while immensely grateful to America for its friendship and support, are still best qualified to judge their security needs better than anyone else. Perhaps they have come to understand that another Democratic president named Bill Clinton, whom noone would argue has a sincere love of the Jewish people and a Jewish son-in-law, still pushed Israel into the Oslo agreements that left a thousand Israeli civilians blown to bits. Perhaps they have come to understand that if Chuck Hagel, President Obama’s nominee for Secretary of Defense, was correct that, as a legislator from Nebraska he was “not an Israeli senator. I’m a United States senator,” then the Prime Minister of Israel is the likewise the leader of the Jewish state who must put the security of the Israeli people even before a nod of approval from the President of the United States.
Over the past four years Bibi has grown into one of Israel’s greatest ever leaders. The country is booming economically and in terms of security. Cranes dot the skyline of expanding Israeli cities, terror incidents are negligible compared to the Clinton era, and unlike the anemic American economy, Israel is humming along at about four percent annual growth. And if President Obama is right that, in spite of this prosperity, Israel is isolated in world opinion, then it is arguably no more so than it has been in the past, and, besides, what is better, a popular Israel riddled with dead Jews or an unpopular Israel filled with living ones?
But what President Obama does not understand about Netanyahu is that the inflexibility he accuses him of is born not of a narrow-minded obstinacy but rather of a confident Jewish pride and deep-seated conviction that has been Bibi’s lifelong hallmark.
In my desire in 1990 to launch a robust response to anti-Israel speeches at the Oxford Union, I booked Netanyahu to lecture at the University. Bibi, just 41 years old, had already electrified the world as Israel’s most capable defender at the UN. Bibi agreed to come with a single stipulation: “If I’m already making the trip, then work me like a horse.”
We obliged.

We picked him up in a special branch police car and as we drove through the grandeur of Oxford’s ancient center, he commented on the majesty of British academia and its incongruence with some of the petty anti-Israel sentiment that is often expressed within its halls. Arriving at St. Antony’s College for a private forum with Oxford Middle East experts, Bibi put one foot on a chair and for the next 90 minutes held forth on the justice of Israel’s cause, surrounded as it was by nation’s sworn to its destruction. As he finished, the attacks came in fast and furious in what had to be one of the most hostile audiences he ever addressed. He did not blink, he did not flinch, he did not bend. When the last question ended, he turned to me to ask what next. After two more speeches, we took him to my home where we had arranged a dinner with Rhodes Scholars, many of them Jewish, most critical of Israeli policy. This time Bibi was softer in presentation but just as firm in conviction. Israel was a righteous nation, focused on maintaining democracy and human rights while facing existential threats on nearly every border. He spoke to the students of their responsibility to be proud defenders of their people and never bend in the face of opposition. The climax of the day was a lecture at the Union itself. Palestinian and Jewish protesters rallied outside in their hundreds with the rallying cry: “Net-an-ya-hu you should know, we support the P-L-O.” Bibi left his security bubble and walked over to the protesters. “Come inside and listen. Then you can protest. I’ll answer every question you ask.”
Many left their barricades and joined the large crowd inside. What followed was one of the great speeches I have heard, a mesmerizing presentation of the need for democracy across the Middle East and the liberalization of Arab governments that deny their citizens their God-given human rights. At its high point Bibi said, “Many of us in Israel have buried children and lost brothers, in fulfillment of a simple dream for Jews to finally live and prosper in a country of their own in peace.” He did not have to mention whom he was referring to as even his detractors knew of Entebbe and the hero-brother he had lost.
Again he was bombarded with hostile questions. He responded patiently but forcefully. When he finished he was given a standing ovation by most of the students in the hall. It was a night few of us would forget.
No Israeli Prime Minister has ever been as American as Bibi. And yet no Prime Minister has so successfully resisted the pressure from the leader of a country he loves so much for a country he loves even more. And the Israeli people, in supporting Bibi regardless of the absence of a stamp of approval from President Obama, are finally realizing that Israel cannot ultimately be protected from Washington but Jerusalem, especially when the current American Administration is not in step with the strong sympathy of the American people for a tiny and just nation fighting for its life.
Shmuley Boteach, “America’s Rabbi” whom The Washington Post calls “the most famous Rabbi in America,” has just published his newest best-seller, “The Fed-up Man of Faith: Challenging God in the Face of Tragedy and Suffering.” Follow him on Twitter @RabbiShmuley.
This column is dedicated to the memory of Machla Debakarov, the mother of a close friend of Rabbi Shmuley’s.

"
29	http://www.breitbart.com/Big-Government/2013/06/18/MADD-OK-with-convicted-drunk-driver-illegal-aliens-staying-on-America-s-roads	Opinion	0	Democrat Scandals	Civil Rights	SomewhatNegative	SomewhatPositive	breitbart.com	"

 "
30	http://www.breitbart.com/Big-Government/2013/05/21/sarah-palin-going-rogue-in-wrong-direction	Opinion	0	Democrat Scandals	Civil Rights	Negative	Neutral	breitbart.com	400
47	http://www.breitbart.com/Big-Journalism/2013/06/05/Politico-Coordinates-with-democrats-attacks-Victims-of-IRS	Opinion	0	Democrat Scandals	Civil Rights	Negative	SomewhatPositive	breitbart.com	"
When the trifecta of scandals first broke over the White House a few weeks ago, the media (who were literally blocking the truth from getting out about the IRS and Benghazi) were so caught off guard that for a couple of weeks they accidentally acted like real media and just reported the facts. Over Memorial Day weekend that all changed. 
It is fairly obvious that the media used the three-day weekend to gather themselves, talk to the White House, and coordinate talking points with one another. The result of this coordination has been apparent in the words “overreach,” “McCarthyism,” “disarray,” and “no GOP agenda” — all being uttered simultaneously across media platforms that are supposed to compete, not coordinate, with one another. 


The idea is for the media to revert to form. Rather than seek the truth, the media will go back to attacking those seeking the truth. Obama’s approval rating is going down, his left-wing agenda and legacy are in jeopardy, and the bleeding must be stopped. 
Another piece of coordination between media and Democrats reared its ugly head today in the most expected of places: Politico. No one takes more glee in savaging private citizens who dare not support Obama than Obama’s bullying thugs at Politico. 
During Tuesday’s testimony, Congressional Democrats attacked the private citizens brought before them to tell their individual horror stories. The witnesses were Tea Party groups and other conservative groups put through months of paralyzing harassment by an IRS that had intentionally singled them out based on their political beliefs. 

Democrats, however, did not care about the fact that these groups had been targeted, and they kept insinuating that these groups deserved the IRS scrutiny due to their political activity.  
Well, that is not the point and everyone knows it. Had the IRS put the same number of left-leaning groups through the same hyper-scrutiny as they did right-leaning groups, none of this would be happening. There would be no scandal.
But the idea here is to change the subject from the fact that the IRS singled out Obama’s political foes for paralyzing scrutiny in the run-up to Obama’s re-election campaign, to the supposed abuse of a tax exempt status by conservative political groups.  
The thinking goes that if Democrats can make the Tea Party look like tax cheats it will take the heat off of Obama and further damage his opponents. 
Well, right on cue, Politico arrives this morning like the cavalry with an appallingly dishonest (but expected) piece of reporting that falls right in line with what Congressional Democrats did yesterday. It is as pure a piece of coordination and left-wing propaganda as you will ever read. 

And this is the only kind of investigative reporting Politico ever does. Imagine if Politico poured these same resources into investigating the IRS’s connections to the White House or the shaping of the IRS talking points by the State Department. 
But today’s Politico piece is all about changing the subject. All it looks at is the political activity of yesterday’s Tea Party witnesses in order to make a case that they deserved scrutiny from the IRS. 
The Politico piece, however, intentionally ignores the fact that this is not the point of the scandal. The point is that these groups were singled out for harassment by their own government. 
The Politico piece intentionally ignores and chooses not to report on all the political activity of tax-exempt left-leaning groups (like Obama’s Organizing for America) — groups approved by the IRS, that are every bit as political as those on the right who were paralyzed by lengthy and intrusive questionnaires and  threats of perjury-those who had their information leaked to the media. 
Working directly with the Democrats, Politico is now putting in overtime to desperately steer subject away from and distract from partisan horrors committed by the IRS. 
The actual crime is no longer the story, according to Politico. No, the story is that the victims had it coming. 
 
Follow John Nolte on Twitter @NolteNC        
"
48	http://www.breitbart.com/Big-Government/2013/05/16/10-Questions-Obama-Must-Answer-On-IRS-Scandal	News	1	Democrat Scandals	Civil Rights	SomewhatNegative	Neutral	breitbart.com	"

On Wednesday, President Barack Obama said Treasury Secretary Jack Lew asked for and accepted the resignation of the acting Internal Revenue Service (IRS) Commissioner Steven T. Miller. However, Miller’s  term as acting IRS Commissioner was up in a couple of weeks, and it is presently unclear whether he was forced to resign or was simply granting notice that his term was up.
Obama will face reporters on Thursday to answer questions about the IRS scandal that placed nearly 500 conservative organizations in the IRS’s crosshairs during the 2010 and 2012 elections. 
Beyond the classic question, “What did the Administration know and when did it know it?”, a myriad of questions remain unanswered.  Here are just a few:


Who inside the IRS hatched the plan to target conservatives and what, if any, connections do they, their associates, or superiors have to the Obama White House, campaign team, or other political organizations?
Who at the IRS leaked confidential tax documents to the progressive-leaning journalism group ProPublica, an action which the IRS official manual says can result in up to five years in prison and fines of up to $5,000?
Who are the two “rogue” individuals disgraced former IRS Commissioner Stevens said went “off the reservation” and acted “overly aggressive” and what, if any, connections do they have politically? If, as the Inspector General report alleges, political motivations were not driving the targeting of conservatives, then what was?  Also, what “discipline” did the two rogue agents receive?
Did IRS agents coordinate with Sen. Carl Levin (D-MI) or his staff to “go after them [conservative groups],” as he told the New York Times, following Levin’s letters to then-IRS Commissioner Doug Shulman and Director Lois Lerner? 
Did Sen. Max Baucus (D-MO) or his staff communicate or coordinate with IRS agents after Baucus wrote this September 28, 2010 letter instructing then-Commissioner Douglas Shulman to have his “agency survey major 401(c)(4), (c)(5) and (c)(6) organizations to determine whether they are acting as conduits for major donors advancing their own private interests”?
What communications took place between IRS agents and the following senators and their staffs following the delivery of this jointly written letter demanding the IRS crack down on “abuse of the tax code by political groups focused on federal election activities”: Sen. Charles Schumer (D-NY), Sen. Michael Bennet (D-CO ), Sen. Sheldon Whitehouse (D-RI), Sen. Jeff Merkley (D-OR), Sen. Tom Udall (D-NM), Sen. Jeanne Shaheen (D-NH), and Sen. Al Franken (D-MN)?
What communications existed between Obama reelection campaign co-chair Joe Solomonese, whom the National Organization for Marriage (NOM) alleges received its confidential tax returns, and IRS agents?
What portion of Obama’s 79% increase in audits of charities were of conservative groups?
If political motivations were not driving the selective targeting of 500 conservative organizations, then why were a similar number of liberal groups not harassed?
What role did IRS Rulings and Agreements Division Director Holly Paz, who in 2008 donated $2,000 to Obama, play in ratcheting up IRS investigations, as she promised she would in June 2012?

Whether reporters will ask and Obama will answer the critical questions that must be resolved remains to be seen.  
 "
72	http://www.breitbart.com/Big-Government/2013/04/19/Schumer-urges-Senators-media-not-to-conflate-Boston-bombings-with-immigration-bill-then-does-it-himself	Opinion	0	Economy	Civil Rights	SomewhatNegative	Neutral	breitbart.com	"

During a Senate Judiciary Committee hearing on Friday, Sen. Chuck Schumer (D-NY), a member of the bipartisan “Gang of Eight,” urged his Senate colleagues and members of the media at the immigration bill hearing to not tie the bill to the Boston terror attack bombings. After he made the request, he proceeded to do exactly what he asked others to not do. 
“Before I get to the bill, I’d like to ask that all of us not jump to conclusions regarding the events in Boston or try to conflate those events with this legislation,” Schumer said.
But, after Schumer made that plea, he commented on immigration reform, including the specific Gang of 8 bill, in the context of the Boston terror attacks.


“In general, we are a safer country when law enforcement knows who is here, has their fingerprints, photos, et cetera, background checks,” Schumer said.

“In addition, both the refugee program and asylum program have been strengthened in the past five years such that we are much more careful about screening people in terms of who should and should not be coming into the country,” Schumer added. “If there are any changes that our homeland security experts tell us need to be made, I’m committed to making them.”
Schumer’s comments came after the committee’s Ranking GOP Member Sen. Chuck Grassley (R-IA) mentioned the Boston bombing earlier in the hearing. Schumer’s chastisement of his colleagues about mentioning the Boston attack appeared to be a response to Grassley.
“We also appreciate the opportunity to talk about immigration, particularly in light of all that’s happening in Massachusetts right now and over the last week,” Grassley said to open the hearing. “We are here trying to understand why these events have occurred. It’s hard to understand that there are people in this world that want to do Americans harm, so this hearing is an opportunity to refocus on the issues at hand and the importance of remaining vigilant and secure in our homeland.”
"
97	http://www.breitbart.com/Big-Government/2013/10/26/ObamaCare-your-tax-dollars-fund-abortion	News	1	Economy	Civil Rights	SomewhatPositive	Neutral	breitbart.com	"
In the public relations push for his takeover of the American health care system, President Obama promised that those who like their insurance could keep it, premiums would decrease, and no one would lose their doctor. We know now those were all lies told repeatedly and never questioned by a media that is still looking the other way. Another promise Obama made was that ObamaCare would not fund abortions. LifeNews reports that this was also a lie:
The ObamaCare statute specifically requires the issuers of Exchange plans that cover abortion to “collect from each enrollee in the plan” a “separate payment” for the type of abortions for which funding is prohibited under the Hyde Amendment (which is all abortions other than in cases of life of the mother, rape, or incest) and a separate payment for all other services. [42 U.S.C. 18023(b)]. These separate payments are then to be deposited into separate accounts.


During the regulatory process, commenters questioned HHS on how this was to be implemented, and according to HHS, the commenters “recommended that HHS clarify . . . whether [Exchange plan] issuers may satisfy the separate payment provision by providing each enrollee with an itemized bill, and whether an enrollee’s coverage would be terminated for failure to comply with the separate payment provision.” Rather than doing so, HHS merely said that the comments would be taken into consideration in any future guidance. [77 Fed. Reg. 18430 (March 27, 2012)].
Now, despite the clear language of the ObamaCare statute, it appears that the separate check requirement is not going to be enforced by the Obama Administration. Gretchen Borchelt, director of state reproductive health policy at the National Women’s Law Center, told the Huffington Post that “we used to talk about it as being two checks that the consumer would have to write because of the segregation requirements, but that’s not the way it’s being implemented.” (Huffington Post, Sept. 3, 2013).
Likewise, a spokeswoman for Rhode Island’s Exchange told PolitiFact Rhode Island that “the customer is not billed a separate fee.” (Politifact, Oct. 2, 2013. The Rhode Island Exchange will handle the billing, not the plan issuers). As PolitiFact notes, “it turns out to be a hidden fee.”

There is nothing the media is willing to make Obama pay a political price for. Not even repeatedly lying to millions who are about to lose their insurance or forcing people to violate their conscience over the abomination of abortion. 
 
 
Follow  John Nolte on Twitter @NolteNC               
 
"
116	http://www.breitbart.com/Big-Government/2013/07/14/March-For-Jobs-to-hear-from-American-people-over-special-interest-groups-on-amnesty-with-special-Breitbart-News-broadcast	Opinion	1	Economy	Civil Rights	Neutral	SomewhatPositive	breitbart.com	400
139	http://www.breitbart.com/Big-Government/2013/06/29/DOJ-Defunds-Youth-Programs-that-Reference-God	News	1	Education	Civil Rights	Negative	SomewhatPositive	breitbart.com	"

The Department of Justice has summarily removed federal funding from two Louisiana youth programs because a local official refused to sign a pledge stating he would require the programs to ban mentions of God.
Julian Whittington, the sheriff of Bossier Parish, LA, told Fox News that Obama’s Justice Office of Civil Rights de-funded the Young Marines chapter and another youth program over mentions of religion. In the case of the Young Marine program, chartered in 1965, the funding was cut off because the group features an oath that mentions “God.” In the other case, it was because a program for at-risk youth featured a voluntary, student-led prayer session as one of its activities.
Sheriff Whittington says that the DOJ withdrew a combined $30,000 from the programs because the groups refused to remove God from their activities. The sheriff said this was evidence of the government’s “aggression and infringement of our religious freedoms.”


Whittington told Fox, “We were informed that these are unacceptable, inherently religious activities and the Department of Justice would not be able to fund the programs if it continued. They wanted a letter from me stating that I would no longer have voluntary prayer and I would also have to remove ‘God’ from the Young Marine’s oath.”
The oath from the Young Marine organization reads:

From this day forward, I sincerely promise, I will set an example for all other youth to follow and I shall never do anything that would bring disgrace or dishonor upon God, my Country and its flag, my parents, myself or the Young Marines. These I will honor and respect in a manner that will reflect credit upon them and myself. Semper Fidelis

Both the U.S. Army enlistment oath and its commissioning oath end with “so help me God.”

As to the at-risk youth program, Whittington said,”We’re not promoting any specific religion, this is just voluntary prayer, mention of God, how offensive and bad can that be?”
In response to the DOJ’s message insisting that he sign the anti-God pledge, Sheriff Whittington sent a letter of his own to LA Governor Bobby Jindal.
“As a Christian, Sheriff and American citizen, I am writing to express my frustration and concern over the persistent aggression and infringement of our religious freedoms which have been imposed upon the law enforcement grant programs, specifically related to the Louisiana Commission on Law Enforcement,” wrote the Sheriff.
In cutting off the funding, the DOJ claimed it was a violation of Church and State rules for the government to fund any group that mentions God.
Fox’s Todd Starnes says that, “Both youth programs have been hailed as a successful way to reach at-risk young people. Since 2002 more than 1,000 young people have graduated from the program, directed by a Bossier Parish deputy who is a former U.S. Marine.”
Like Sheriff Whittington, Rep. John Fleming (R-LA) was troubled by the DOJ’s actions.

“There is a very wide effort coming out of the administration that seeks to stamp out freedom of expressions – particularly religion and especially freedom of Christian expression,” Fleming said. “They are willing to throw the youth overboard and remove the funding just in the name of making this an atheist, agnostic, secular organization.”
“They (DOJ) don’t want anything to have any sort of religious support – even down to prayer,” Fleming said. “It’s sad and it’s inconsistent with the intentions of the framers of the Constitution.”

Sheriff Whittington is not taking this lying down. “When something is not right and you know it’s not right and you keep bowing down, nothing is ever going to change,” he said.
"
