	url	q3	perceived	primary.topic	secondary.topic	democrat.vote	republican.vote	domain	text
15	http://www.nytimes.com/2013/05/24/us/politics/senate-confirmation-srinivasan-pritzker.html	News	1	Civil Rights	Civil Rights	Neutral	Neutral	nytimes.com	400
21	http://www.nytimes.com/2013/03/07/us/politics/cias-harsh-interrogations-pose-hurdles-for-john-brennan.html	News	1	Democrat Scandals	Civil Rights	SomewhatNegative	Neutral	nytimes.com	400
35	http://www.nytimes.com/2013/05/18/us/politics/irs-scandal-congressional-hearings.html	News	0	Democrat Scandals	Civil Rights	SomewhatNegative	SomewhatNegative	nytimes.com	400
64	http://www.nytimes.com/2013/12/20/us/obama-commuting-sentences-in-crack-cocaine-cases.html	News	0	Drugs	Civil Rights	SomewhatPositive	SomewhatNegative	nytimes.com	400
66	http://www.nytimes.com/2013/08/02/opinion/sentencing-reform-starts-to-pay-off.html	News	1	Drugs	Civil Rights	Neutral	Neutral	nytimes.com	400
67	http://www.nytimes.com/2013/12/20/us/obama-commuting-sentences-in-crack-cocaine-cases.html	News	1	Drugs	Civil Rights	Neutral	Neutral	nytimes.com	400
75	http://www.nytimes.com/2013/06/20/opinion/blow-a-nation-divided-against-itself.html	Opinion	0	Economy	Civil Rights	Neutral	SomewhatNegative	nytimes.com	400
115	http://www.nytimes.com/2013/07/15/opinion/krugman-hunger-games-usa.html	News	1	Economy	Civil Rights	SomewhatNegative	SomewhatNegative	nytimes.com	400
124	http://www.nytimes.com/2013/07/17/business/cordray-confirmed-as-head-of-financial-watchdog-after-long-wait.html	News	0	Economy	Civil Rights	Neutral	SomewhatNegative	nytimes.com	400
132	http://www.nytimes.com/2013/01/11/arts/design/the-civil-war-in-america-at-library-of-congress.html	News	0	Education	Civil Rights	Neutral	Neutral	nytimes.com	400
146	http://www.nytimes.com/2013/09/12/nyregion/in-quinns-loss-questions-about-role-of-gender-and-sexuality.html	Opinion	0	Elections	Civil Rights	SomewhatNegative	Neutral	nytimes.com	400
153	http://opinionator.blogs.nytimes.com/2013/02/06/the-persistence-of-racial-resentment/	News	1	Elections	Civil Rights	SomewhatPositive	SomewhatNegative	nytimes.com	400
157	http://www.nytimes.com/2013/12/01/opinion/sunday/voter-id-gets-another-day-in-court.html	News	0	Elections	Civil Rights	Neutral	Neutral	nytimes.com	400
161	http://www.nytimes.com/2013/03/08/world/europe/women-finding-their-way-in-german-politics.html	Opinion	0	Elections	Civil Rights	Positive	SomewhatNegative	nytimes.com	400
175	http://www.nytimes.com/2013/10/01/opinion/the-dishonesty-of-voter-id-laws.html	News	0	Elections	Civil Rights	SomewhatPositive	Negative	nytimes.com	400
196	http://www.nytimes.com/2013/02/05/us/politics/waiting-times-to-vote-at-polls-draw-scrutiny.html	News	0	Elections	Civil Rights	Neutral	Neutral	nytimes.com	400
204	http://www.nytimes.com/2013/07/27/opinion/blow-carving-up-the-country.html	News	0	Elections	Civil Rights	Neutral	SomewhatNegative	nytimes.com	400
208	http://www.nytimes.com/2013/05/18/nyregion/citys-largest-union-endorsing-de-blasio-for-mayor.html	News	0	Elections	Civil Rights	Positive	Neutral	nytimes.com	400
